xwindowsize,ywindowsize,label1x,label1y,label2x,label2y,label3x,label3y,label4x,label4y,label5x,label5y,label6x,label6y,label7x,label7y,label8x,label8y,label9x,label9y,label10x,label10y,label11x,label11y,label12x,label12y,label13x,label13y,label14x,label14y,label15x,label15y,label16x,label16y,label17x,label17y,label18x,label18y,label19x,label19y,label20x,label20y
1164,628,596,386,489,202,77,267,620,291,488,178,595,409,324,102,610,475,635,312,72,243,599,432,327,146,987,299,492,225,883,301,994,329,625,270,342,173,328,126,603,454
1360,598,1091,336,336,378,668,142,1059,206,320,495,1103,289,395,414,1012,252,887,314,664,168,1122,245,328,447,389,200,676,291,689,403,382,166,884,285,291,414,410,475,1006,299
1440,762,634,51,1123,245,822,398,782,159,934,213,504,193,890,243,591,96,710,187,816,367,505,223,1164,140,365,350,202,125,363,298,362,327,710,223,1068,143,934,274,502,160
1440,762,1244,314,252,194,345,730,1172,473,810,224,1234,181,201,258,1058,223,1084,642,455,682,1217,73,534,81,248,433,684,605,200,354,329,398,966,680,322,164,748,128,1130,121
1920,934,1416,696,584,742,883,402,1272,767,352,320,1447,814,355,152,1747,820,1335,802,884,366,1511,777,445,749,1564,266,1430,524,1269,611,1546,287,1298,832,446,719,311,291,1566,800
1440,835,854,141,397,184,955,295,657,157,494,158,661,223,540,272,852,210,321,262,952,274,659,190,1032,207,253,159,515,314,332,111,238,181,322,291,1024,181,496,183,855,178
1440,794,1166,492,291,124,199,518,1187,513,589,68,919,92,319,356,692,553,1089,322,212,549,886,65,115,70,1339,58,1051,276,1345,197,1343,86,1097,346,119,96,314,327,682,521
1536,727,207,459,199,207,495,379,209,338,200,184,212,431,522,232,522,208,207,385,490,404,209,315,523,160,1067,300,206,407,1073,351,1072,325,210,362,522,133,525,254,524,183
1920,952,1532,722,407,771,1567,160,830,458,406,417,1192,319,408,371,1513,681,658,480,1544,187,1180,297,439,802,117,914,723,563,244,841,83,938,657,451,474,831,408,397,1166,233
1504,833,555,628,1118,404,1157,641,862,116,1115,319,506,407,1164,295,585,660,940,192,1036,635,467,309,1217,421,90,394,811,173,251,117,89,428,1047,187,1122,458,1198,263,650,593
1440,762,1014,232,1007,481,311,147,1000,137,719,360,1174,138,765,311,1096,99,776,156,314,175,1015,207,1094,410,620,635,921,73,777,519,629,665,760,180,1077,441,772,289,1096,169
1920,875,959,610,1397,331,1044,397,548,504,1210,182,681,522,1467,380,746,637,486,474,1043,427,604,551,1589,264,199,624,617,475,314,561,209,596,556,446,1616,299,1439,177,769,591
