1_Q79_4,2_Q79_4,3_Q79_4,4_Q79_4,5_Q79_4,6_Q79_4,7_Q79_4,8_Q79_4,9_Q79_4,10_Q79_4,11_Q79_4,12_Q79_4,13_Q79_4,14_Q79_4,15_Q79_4,16_Q79_4,17_Q79_4,18_Q79_4,19_Q79_4,20_Q79_4,21_Q79_4,22_Q79_4,23_Q79_4,24_Q79_4,25_Q79_4,26_Q79_4,27_Q79_4,28_Q79_4,29_Q79_4,30_Q79_4,31_Q79_4,32_Q79_4,33_Q79_4,34_Q79_4,35_Q79_4,36_Q79_4,37_Q79_4,38_Q79_4,39_Q79_4,40_Q79_4,41_Q79_4,42_Q79_4,43_Q79_4,44_Q79_4,45_Q79_4,46_Q79_4,47_Q79_4,48_Q79_4,49_Q79_4,50_Q79_4,51_Q79_4,52_Q79_4,53_Q79_4,54_Q79_4,55_Q79_4,56_Q79_4,57_Q79_4,58_Q79_4,59_Q79_4,60_Q79_4,61_Q79_4,62_Q79_4,63_Q79_4,64_Q79_4,65_Q79_4,66_Q79_4,67_Q79_4,68_Q79_4,69_Q79_4,70_Q79_4,71_Q79_4,72_Q79_4,73_Q79_4,74_Q79_4,75_Q79_4,76_Q79_4,77_Q79_4,78_Q79_4,79_Q79_4,80_Q79_4,81_Q79_4,82_Q79_4,83_Q79_4,84_Q79_4,85_Q79_4,86_Q79_4,87_Q79_4,88_Q79_4,89_Q79_4,90_Q79_4,91_Q79_4,92_Q79_4,93_Q79_4,94_Q79_4,95_Q79_4,96_Q79_4,97_Q79_4,98_Q79_4,99_Q79_4,100_Q79_4,101_Q79_4,102_Q79_4,103_Q79_4,104_Q79_4,105_Q79_4,106_Q79_4,107_Q79_4,108_Q79_4,109_Q79_4,110_Q79_4,111_Q79_4,112_Q79_4,113_Q79_4,114_Q79_4,115_Q79_4,116_Q79_4,117_Q79_4,118_Q79_4,119_Q79_4,120_Q79_4,121_Q79_4,122_Q79_4,123_Q79_4,124_Q79_4,125_Q79_4,126_Q79_4,127_Q79_4,128_Q79_4,129_Q79_4,130_Q79_4,131_Q79_4,132_Q79_4,133_Q79_4,134_Q79_4,135_Q79_4,136_Q79_4,137_Q79_4,138_Q79_4,139_Q79_4,140_Q79_4,141_Q79_4,142_Q79_4,143_Q79_4,144_Q79_4,145_Q79_4,146_Q79_4,147_Q79_4,148_Q79_4,149_Q79_4,150_Q79_4,151_Q79_4,152_Q79_4,153_Q79_4,154_Q79_4,155_Q79_4,156_Q79_4,157_Q79_4,158_Q79_4,159_Q79_4,160_Q79_4,161_Q79_4,162_Q79_4,163_Q79_4,164_Q79_4,165_Q79_4,166_Q79_4,167_Q79_4,168_Q79_4,169_Q79_4,170_Q79_4,171_Q79_4,172_Q79_4,173_Q79_4,174_Q79_4,175_Q79_4,176_Q79_4,177_Q79_4,178_Q79_4,179_Q79_4,180_Q79_4,181_Q79_4,182_Q79_4,183_Q79_4,184_Q79_4,185_Q79_4,186_Q79_4,187_Q79_4,188_Q79_4,189_Q79_4,190_Q79_4,191_Q79_4,192_Q79_4,193_Q79_4,194_Q79_4,195_Q79_4,196_Q79_4,197_Q79_4,198_Q79_4,199_Q79_4,200_Q79_4,201_Q79_4,202_Q79_4,203_Q79_4,204_Q79_4,205_Q79_4,206_Q79_4,207_Q79_4,208_Q79_4,209_Q79_4,210_Q79_4,211_Q79_4,212_Q79_4,213_Q79_4,214_Q79_4,215_Q79_4,216_Q79_4,217_Q79_4,218_Q79_4,219_Q79_4,220_Q79_4,221_Q79_4,222_Q79_4,223_Q79_4,224_Q79_4,225_Q79_4,226_Q79_4,227_Q79_4,228_Q79_4,229_Q79_4,230_Q79_4,231_Q79_4,232_Q79_4,233_Q79_4,234_Q79_4,235_Q79_4,236_Q79_4,237_Q79_4,238_Q79_4,239_Q79_4,240_Q79_4,241_Q79_4,242_Q79_4,243_Q79_4,244_Q79_4,245_Q79_4,246_Q79_4,247_Q79_4,248_Q79_4,249_Q79_4,250_Q79_4,251_Q79_4,252_Q79_4,253_Q79_4,254_Q79_4,255_Q79_4,256_Q79_4,257_Q79_4,258_Q79_4,259_Q79_4,260_Q79_4,261_Q79_4,262_Q79_4,263_Q79_4,264_Q79_4,265_Q79_4,266_Q79_4,267_Q79_4,268_Q79_4,269_Q79_4,270_Q79_4,271_Q79_4,272_Q79_4,273_Q79_4,274_Q79_4,275_Q79_4,276_Q79_4,277_Q79_4,278_Q79_4,279_Q79_4,280_Q79_4,281_Q79_4,282_Q79_4,283_Q79_4,284_Q79_4,285_Q79_4,286_Q79_4,287_Q79_4,288_Q79_4,289_Q79_4,290_Q79_4,291_Q79_4,292_Q79_4,293_Q79_4,294_Q79_4,295_Q79_4,296_Q79_4,297_Q79_4,298_Q79_4,299_Q79_4,300_Q79_4,301_Q79_4,302_Q79_4,303_Q79_4,304_Q79_4,305_Q79_4,306_Q79_4,307_Q79_4,308_Q79_4,309_Q79_4,310_Q79_4,311_Q79_4,312_Q79_4,313_Q79_4,314_Q79_4,315_Q79_4,316_Q79_4,317_Q79_4,318_Q79_4,319_Q79_4,320_Q79_4,321_Q79_4,322_Q79_4,323_Q79_4,324_Q79_4,325_Q79_4,326_Q79_4,327_Q79_4,328_Q79_4,329_Q79_4,330_Q79_4,331_Q79_4,332_Q79_4,333_Q79_4,334_Q79_4,335_Q79_4,336_Q79_4,337_Q79_4,338_Q79_4,339_Q79_4,340_Q79_4,341_Q79_4,342_Q79_4,343_Q79_4,344_Q79_4,345_Q79_4,346_Q79_4,347_Q79_4,348_Q79_4,349_Q79_4,350_Q79_4,351_Q79_4,352_Q79_4,353_Q79_4,354_Q79_4,355_Q79_4,356_Q79_4,357_Q79_4,358_Q79_4,359_Q79_4,360_Q79_4,361_Q79_4,362_Q79_4,363_Q79_4,364_Q79_4,365_Q79_4,366_Q79_4,367_Q79_4,368_Q79_4,369_Q79_4,370_Q79_4,371_Q79_4,372_Q79_4,373_Q79_4,374_Q79_4,375_Q79_4,376_Q79_4,377_Q79_4,378_Q79_4,379_Q79_4,380_Q79_4
,,,,,,,,,,,,,,,,42,,,,,,,,32,,44,,,,,,,,,,,,,,,,,,,,,,39,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,21,,,24,,,60,,,,,42,,,,,36,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,53,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,57,,,44,,,,,43,31,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,31,,,,,62,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,31,37,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,0,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,16,,,,,,,,,,,,,75,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,40,,,,0,,,,,,0,38,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,,,,,,,,,,,,,,,,0,,,,,,,,,,35,0,
,18,,,,,,,,76,,11,,,,,,,,,,,,25,,,,,,0,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,40,,,,,30,37,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,37,,,,84,,,,,,,10,,,13,,39,,,,,,25,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,23,,,37,,,,,,,,,,85,,,,,,23,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,9,,,7,,,,,,,,,,32,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,97,,65,71,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,49,,,,,,,40,,,,,,,,,,,,,,52,,,43,,,,,,,86,,,,,,,,,,,62,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,6,,,,,,,,,20,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,15,,,,55,,,,,,90,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,44,,,,,,,,,
,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,56,44,,,,,,,,,,,39,,,,,,,,,,,,45,,,,,,,,32,,,,,,,,,,,,,,43,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,52,,,,,,,45,,,,,,,,,,,,,,,,,,45,,,,,,,,,96,,,,,,,,,42,,,,,40,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,41,,68,,,,,62,,,,,,,,,,,,,,,58,,,,,,,,,,,,,58,,,,,,,70,,,,46,,,,,,,57,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,93,,,,,,,,,,,,56,,35,,,,,,,,,,,
,72,,,,,,,,65,,,,,,,,,,,,,,79,,,0,,79,,,,,,,,,64,,,,,,94,,,,,,,0,76,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,50,,0,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,79,,,69,,,42,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,36,,,,,,,,25,,,50,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,12,,,,,,,,60,,,,,,7,,,,,,57,
,,,,,,,93,,,,,,,,,26,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,22,,,70,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,56,,,,,,,,,,,,,,70,,,,,,22,,,,,,,29,,,95,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,77,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,50,,30,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,65,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,68,,89,,,,,,25,,,,,15,,,,,,,
9,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,7,,,,,66,,,,,73,,,,,,,,,,,14,,,,,7,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,11,,,,,,,,,,,5,,,,,7,,8,,,,,79,,,,,,,,,,,,15,,,,,,,,,,,,,,0,,,,,,,,,6,,8,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,9,,69,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,78,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,75,
,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,18,15,,,,,,,,,,,,21,,,,,,,,,21,,,,,33,,,,,,,,,,,,,,,,19,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,31,20,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,18,,,,,,,,,,,,,,10,,,,,,,,,,,,,18,,,,,,,,,,22,,23,,,,,,,,,16,,,,38,,,,,,,93,33,,,,,,,,,,19,23,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,24,,35,,,,,4,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,40,,,,,,,,,67,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,13,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,37,,11,,,,,,,,,,,,,30,,,,,,,,23,,,,,,,,,,64,,,,,8,,,,88,,15,,,,,,,,,,62,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,39,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,
