,cat,dog,horse,pig,cow,camel,tiger,lion,goat,sheep,mouse,rat,wolf,giraffe,zebra,donkey,rabbit,fox,gorilla,chimpanzee
cat,0.0,0.8852991461753845,1.0045348405838013,1.054089903831482,1.1386483907699585,1.112175703048706,0.9866336584091187,0.9703980088233948,1.116956353187561,1.1413908004760742,1.034042477607727,0.9434472918510437,1.0478676557540894,1.1146812438964844,1.1163395643234253,1.087056040763855,1.0132211446762085,1.0904165506362915,1.0709171295166016,1.0862118005752563
dog,0.8852991461753845,0.0,0.9926484227180481,1.0306330919265747,1.0520384311676025,1.078436017036438,1.0830577611923218,1.0501372814178467,1.0469450950622559,1.0897048711776733,1.1192550659179688,0.9901032447814941,0.912619411945343,1.10517156124115,1.099810004234314,1.0454877614974976,0.9669744968414307,1.0665607452392578,1.0735700130462646,1.1277523040771484
horse,1.0045348405838013,0.9926484227180481,0.0,0.999198317527771,0.9500256180763245,0.8837733268737793,1.0877771377563477,1.0416080951690674,0.9811941385269165,1.0765886306762695,1.1525921821594238,1.0796337127685547,1.0992159843444824,0.9981578588485718,0.9904050230979919,0.8923202157020569,0.9917327761650085,1.1317585706710815,1.0926069021224976,1.1717251539230347
pig,1.054089903831482,1.0306330919265747,0.999198317527771,0.0,0.9737209677696228,1.0372294187545776,1.0677363872528076,0.9909487962722778,1.046726942062378,1.0241541862487793,1.0882214307785034,0.9682723879814148,1.115745186805725,1.0882229804992676,1.0212533473968506,0.9738886952400208,0.9281230568885803,1.1497061252593994,1.019104242324829,1.0195648670196533
cow,1.1386483907699585,1.0520384311676025,0.9500256180763245,0.9737209677696228,0.0,0.9368915557861328,1.0870290994644165,1.1323292255401611,0.9815953969955444,0.9734381437301636,1.1925281286239624,1.1344927549362183,1.0335103273391724,1.0602726936340332,1.0160468816757202,0.9686108827590942,1.0179517269134521,1.1142698526382446,1.0760791301727295,1.1298993825912476
camel,1.112175703048706,1.078436017036438,0.8837733268737793,1.0372294187545776,0.9368915557861328,0.0,1.0617235898971558,0.9488999247550964,0.9523570537567139,1.0180405378341675,1.1939983367919922,1.1460981369018555,1.0664185285568237,0.9436476230621338,0.9363583922386169,0.9344131350517273,1.0518909692764282,1.1226980686187744,1.0517652034759521,1.1378716230392456
tiger,0.9866336584091187,1.0830577611923218,1.0877771377563477,1.0677363872528076,1.0870290994644165,1.0617235898971558,0.0,0.8161356449127197,1.037471055984497,1.1428145170211792,1.0338973999023438,1.057185411453247,1.0696429014205933,1.0128748416900635,1.0384231805801392,1.0035839080810547,1.0490456819534302,1.0793825387954712,1.0300239324569702,1.0621364116668701
lion,0.9703980088233948,1.0501372814178467,1.0416080951690674,0.9909487962722778,1.1323292255401611,0.9488999247550964,0.8161356449127197,0.0,1.0018185377120972,1.0570673942565918,1.0302609205245972,1.0017913579940796,1.0069246292114258,0.9930708408355713,0.9270448088645935,0.9593514800071716,1.0124483108520508,1.04651939868927,0.9221429228782654,1.0757255554199219
goat,1.116956353187561,1.0469450950622559,0.9811941385269165,1.046726942062378,0.9815953969955444,0.9523570537567139,1.037471055984497,1.0018185377120972,0.0,1.0694968700408936,1.1585246324539185,1.0821983814239502,1.1372891664505005,1.0246742963790894,0.9997775554656982,0.9283004403114319,1.0674031972885132,1.1893877983093262,1.0171890258789062,1.1846613883972168
sheep,1.1413908004760742,1.0897048711776733,1.0765886306762695,1.0241541862487793,0.9734381437301636,1.0180405378341675,1.1428145170211792,1.0570673942565918,1.0694968700408936,0.0,1.246924638748169,1.1242008209228516,0.9884384870529175,1.0845954418182373,1.0999304056167603,1.0477482080459595,1.0595104694366455,1.1465632915496826,1.0721564292907715,1.1361949443817139
mouse,1.034042477607727,1.1192550659179688,1.1525921821594238,1.0882214307785034,1.1925281286239624,1.1939983367919922,1.0338973999023438,1.0302609205245972,1.1585246324539185,1.246924638748169,0.0,0.8592148423194885,1.1619758605957031,1.1391454935073853,1.0962560176849365,1.023093581199646,1.0218597650527954,1.070345401763916,1.158032774925232,1.1642268896102905
rat,0.9434472918510437,0.9901032447814941,1.0796337127685547,0.9682723879814148,1.1344927549362183,1.1460981369018555,1.057185411453247,1.0017913579940796,1.0821983814239502,1.1242008209228516,0.8592148423194885,0.0,1.029690146446228,1.112037181854248,1.102681040763855,1.020687460899353,0.9543449878692627,1.068734884262085,1.1065661907196045,1.055397868156433
wolf,1.0478676557540894,0.912619411945343,1.0992159843444824,1.115745186805725,1.0335103273391724,1.0664185285568237,1.0696429014205933,1.0069246292114258,1.1372891664505005,0.9884384870529175,1.1619758605957031,1.029690146446228,0.0,1.151842713356018,1.0880876779556274,1.1460901498794556,1.02304208278656,1.0290242433547974,1.0644001960754395,1.1382551193237305
giraffe,1.1146812438964844,1.10517156124115,0.9981578588485718,1.0882229804992676,1.0602726936340332,0.9436476230621338,1.0128748416900635,0.9930708408355713,1.0246742963790894,1.0845954418182373,1.1391454935073853,1.112037181854248,1.151842713356018,0.0,0.9693961143493652,1.0457953214645386,1.0932725667953491,1.1811999082565308,0.9781167507171631,0.9725954532623291
zebra,1.1163395643234253,1.099810004234314,0.9904050230979919,1.0212533473968506,1.0160468816757202,0.9363583922386169,1.0384231805801392,0.9270448088645935,0.9997775554656982,1.0999304056167603,1.0962560176849365,1.102681040763855,1.0880876779556274,0.9693961143493652,0.0,0.9538471698760986,0.9712409377098083,1.0763424634933472,0.9703882932662964,1.1249597072601318
donkey,1.087056040763855,1.0454877614974976,0.8923202157020569,0.9738886952400208,0.9686108827590942,0.9344131350517273,1.0035839080810547,0.9593514800071716,0.9283004403114319,1.0477482080459595,1.023093581199646,1.020687460899353,1.1460901498794556,1.0457953214645386,0.9538471698760986,0.0,0.9519551992416382,1.1216273307800293,0.9345822334289551,1.1165212392807007
rabbit,1.0132211446762085,0.9669744968414307,0.9917327761650085,0.9281230568885803,1.0179517269134521,1.0518909692764282,1.0490456819534302,1.0124483108520508,1.0674031972885132,1.0595104694366455,1.0218597650527954,0.9543449878692627,1.02304208278656,1.0932725667953491,0.9712409377098083,0.9519551992416382,0.0,1.0480198860168457,1.057893991470337,1.0970083475112915
fox,1.0904165506362915,1.0665607452392578,1.1317585706710815,1.1497061252593994,1.1142698526382446,1.1226980686187744,1.0793825387954712,1.04651939868927,1.1893877983093262,1.1465632915496826,1.070345401763916,1.068734884262085,1.0290242433547974,1.1811999082565308,1.0763424634933472,1.1216273307800293,1.0480198860168457,0.0,1.1716372966766357,1.192508339881897
gorilla,1.0709171295166016,1.0735700130462646,1.0926069021224976,1.019104242324829,1.0760791301727295,1.0517652034759521,1.0300239324569702,0.9221429228782654,1.0171890258789062,1.0721564292907715,1.158032774925232,1.1065661907196045,1.0644001960754395,0.9781167507171631,0.9703882932662964,0.9345822334289551,1.057893991470337,1.1716372966766357,0.0,0.8725892305374146
chimpanzee,1.0862118005752563,1.1277523040771484,1.1717251539230347,1.0195648670196533,1.1298993825912476,1.1378716230392456,1.0621364116668701,1.0757255554199219,1.1846613883972168,1.1361949443817139,1.1642268896102905,1.055397868156433,1.1382551193237305,0.9725954532623291,1.1249597072601318,1.1165212392807007,1.0970083475112915,1.192508339881897,0.8725892305374146,0.0
