,cat,dog,horse,pig,cow,camel,tiger,lion,goat,sheep,mouse,rat,wolf,giraffe,zebra,donkey,rabbit,fox,gorilla,chimpanzee
cat,0.0,3.715787172317505,4.329065799713135,3.754739284515381,3.655245542526245,3.9721570014953613,3.563856840133667,3.57588529586792,4.6075897216796875,5.322934627532959,4.208400726318359,3.7293426990509033,4.994786739349365,9.089119911193848,4.827029228210449,3.9867677688598633,3.1858303546905518,5.617564678192139,4.949979782104492,11.00838851928711
dog,3.715787172317505,0.0,3.6520943641662598,4.51397705078125,4.85121488571167,3.808090925216675,4.24653959274292,3.5607128143310547,3.7743029594421387,5.007119655609131,4.626592636108398,4.387633323669434,4.655056953430176,8.144351959228516,5.741665363311768,3.785001516342163,3.8341658115386963,5.8586344718933105,4.957266807556152,10.3171968460083
horse,4.329065799713135,3.6520943641662598,0.0,4.763410568237305,4.980894088745117,4.118201732635498,4.674305438995361,4.2349066734313965,4.100327491760254,5.190304756164551,5.24711799621582,4.986891269683838,5.200162410736084,8.57188892364502,5.922804832458496,4.5311503410339355,4.4845170974731445,5.924893856048584,5.728109359741211,10.941408157348633
pig,3.754739284515381,4.51397705078125,4.763410568237305,0.0,2.603259563446045,4.32750940322876,3.684605121612549,3.696021795272827,4.928384304046631,5.4339213371276855,3.435948610305786,3.457442283630371,5.45205545425415,9.255544662475586,4.403855323791504,3.367515802383423,3.197267532348633,6.612099647521973,4.166111469268799,11.286664009094238
cow,3.655245542526245,4.85121488571167,4.980894088745117,2.603259563446045,0.0,4.3761091232299805,3.56541109085083,3.8393430709838867,5.27043342590332,5.700347900390625,3.9704089164733887,3.909423351287842,5.696300506591797,9.509641647338867,4.051856517791748,3.8965423107147217,3.27081561088562,6.245754241943359,4.426117420196533,11.50192642211914
camel,3.9721570014953613,3.808090925216675,4.118201732635498,4.32750940322876,4.3761091232299805,0.0,4.222539901733398,3.5623114109039307,4.221397876739502,4.754069805145264,4.904770851135254,4.8544697761535645,5.391667366027832,8.279623985290527,4.940374374389648,3.7107486724853516,3.959660291671753,5.855442523956299,4.795204162597656,10.515073776245117
tiger,3.563856840133667,4.24653959274292,4.674305438995361,3.684605121612549,3.56541109085083,4.222539901733398,0.0,3.2858030796051025,4.951267719268799,5.640344619750977,3.9677751064300537,3.86946177482605,4.779941558837891,8.800856590270996,4.537720680236816,3.512690305709839,3.1863017082214355,5.83448600769043,3.8135881423950195,10.757830619812012
lion,3.57588529586792,3.5607128143310547,4.2349066734313965,3.696021795272827,3.8393430709838867,3.5623114109039307,3.2858030796051025,0.0,3.9958648681640625,4.839522361755371,4.079459190368652,3.9995436668395996,4.173367023468018,8.205613136291504,4.854926586151123,3.3815109729766846,3.1538262367248535,5.9078240394592285,4.127640247344971,10.606704711914062
goat,4.6075897216796875,3.7743029594421387,4.100327491760254,4.928384304046631,5.27043342590332,4.221397876739502,4.951267719268799,3.9958648681640625,0.0,4.483903884887695,5.182398319244385,5.080600261688232,4.956798076629639,8.22670841217041,6.010929107666016,4.51644229888916,4.6171770095825195,6.284194469451904,5.314590930938721,10.376163482666016
sheep,5.322934627532959,5.007119655609131,5.190304756164551,5.4339213371276855,5.700347900390625,4.754069805145264,5.640344619750977,4.839522361755371,4.483903884887695,0.0,5.527059078216553,5.903400897979736,6.023586273193359,9.04870891571045,5.738592624664307,5.036612510681152,5.504527568817139,6.717156410217285,5.615582466125488,10.707714080810547
mouse,4.208400726318359,4.626592636108398,5.24711799621582,3.435948610305786,3.9704089164733887,4.904770851135254,3.9677751064300537,4.079459190368652,5.182398319244385,5.527059078216553,0.0,3.926649570465088,5.268712997436523,8.777743339538574,4.768388271331787,3.5127036571502686,3.4359521865844727,6.6550374031066895,3.9112987518310547,10.487236022949219
rat,3.7293426990509033,4.387633323669434,4.986891269683838,3.457442283630371,3.909423351287842,4.8544697761535645,3.86946177482605,3.9995436668395996,5.080600261688232,5.903400897979736,3.926649570465088,0.0,5.314445495605469,9.27492904663086,5.1988019943237305,4.02123498916626,3.6660048961639404,6.414828777313232,4.569655418395996,11.073004722595215
wolf,4.994786739349365,4.655056953430176,5.200162410736084,5.45205545425415,5.696300506591797,5.391667366027832,4.779941558837891,4.173367023468018,4.956798076629639,6.023586273193359,5.268712997436523,5.314445495605469,0.0,8.41123104095459,6.457142353057861,5.190968990325928,4.750548839569092,6.638539791107178,5.5994696617126465,10.31651782989502
giraffe,9.089119911193848,8.144351959228516,8.57188892364502,9.255544662475586,9.509641647338867,8.279623985290527,8.800856590270996,8.205613136291504,8.22670841217041,9.04870891571045,8.777743339538574,9.27492904663086,8.41123104095459,0.0,9.333009719848633,8.34937572479248,8.663057327270508,9.53205680847168,8.415780067443848,7.071666240692139
zebra,4.827029228210449,5.741665363311768,5.922804832458496,4.403855323791504,4.051856517791748,4.940374374389648,4.537720680236816,4.854926586151123,6.010929107666016,5.738592624664307,4.768388271331787,5.1988019943237305,6.457142353057861,9.333009719848633,0.0,4.660741329193115,4.6144280433654785,6.325689792633057,4.664574146270752,10.930258750915527
donkey,3.9867677688598633,3.785001516342163,4.5311503410339355,3.367515802383423,3.8965423107147217,3.7107486724853516,3.512690305709839,3.3815109729766846,4.51644229888916,5.036612510681152,3.5127036571502686,4.02123498916626,5.190968990325928,8.34937572479248,4.660741329193115,0.0,3.064983606338501,6.353687286376953,3.1554009914398193,10.57264518737793
