,cat,dog,horse,pig,cow,camel,tiger,lion,goat,sheep,mouse,rat,wolf,giraffe,zebra,donkey,rabbit,fox,gorilla,chimpanzee
cat,0.0,2.6117749214172363,3.520264148712158,3.450165033340454,4.037934303283691,3.802870988845825,3.292447328567505,3.7289376258850098,3.5411152839660645,3.5285415649414062,2.9821271896362305,2.8861680030822754,3.5927042961120605,5.914390563964844,3.791597604751587,3.670045852661133,2.92567777633667,3.420710563659668,3.7632458209991455,6.8071064949035645
dog,2.6117749214172363,0.0,2.907869815826416,3.3027539253234863,3.9373409748077393,3.5132956504821777,3.44541072845459,3.4002256393432617,3.186992645263672,3.2742502689361572,3.323456048965454,3.2159125804901123,3.3771286010742188,5.969911098480225,3.7968389987945557,3.3836441040039062,2.848679780960083,3.366668462753296,3.664921998977661,7.036896228790283
horse,3.520264148712158,2.907869815826416,0.0,3.3917202949523926,3.4091436862945557,2.975928544998169,3.6588528156280518,3.455906391143799,2.918424129486084,3.051968574523926,3.811347246170044,3.6452431678771973,3.5206265449523926,5.852074146270752,3.447509288787842,3.2924747467041016,3.2070586681365967,3.5512964725494385,3.8183541297912598,7.287565231323242
pig,3.450165033340454,3.3027539253234863,3.3917202949523926,0.0,3.2789840698242188,3.19830584526062,3.8585734367370605,3.6849803924560547,2.921506881713867,3.418215274810791,3.563021183013916,2.8353359699249268,3.412092447280884,6.2710700035095215,3.283738374710083,2.664194107055664,2.617741346359253,3.4664816856384277,3.565521001815796,7.367753505706787
cow,4.037934303283691,3.9373409748077393,3.4091436862945557,3.2789840698242188,0.0,3.253216505050659,3.787989616394043,4.012696743011475,2.663788080215454,3.063595771789551,4.021968841552734,3.7405941486358643,3.7200429439544678,6.307398796081543,3.446363687515259,3.364621639251709,3.444077968597412,4.037050247192383,4.001082420349121,7.703705787658691
camel,3.802870988845825,3.5132956504821777,2.975928544998169,3.19830584526062,3.253216505050659,0.0,3.589865207672119,3.5161798000335693,2.8406355381011963,3.2047054767608643,4.112657070159912,3.3345911502838135,3.4231977462768555,5.8717732429504395,2.7212302684783936,2.5653278827667236,3.0194215774536133,3.688025951385498,3.096524238586426,7.327299118041992
tiger,3.292447328567505,3.44541072845459,3.6588528156280518,3.8585734367370605,3.787989616394043,3.589865207672119,0.0,2.8814635276794434,3.4918484687805176,3.8168962001800537,3.600245475769043,3.4337337017059326,3.149385690689087,5.866910934448242,3.3943049907684326,3.695195436477661,3.393308162689209,3.7298600673675537,3.2873733043670654,6.958736419677734
lion,3.7289376258850098,3.4002256393432617,3.455906391143799,3.6849803924560547,4.012696743011475,3.5161798000335693,2.8814635276794434,0.0,3.3094091415405273,3.651719331741333,3.8222362995147705,3.6830341815948486,3.033561944961548,5.793864727020264,3.3440496921539307,3.6567678451538086,3.5661048889160156,3.884594202041626,3.3569934368133545,7.136834144592285
goat,3.5411152839660645,3.186992645263672,2.918424129486084,2.921506881713867,2.663788080215454,2.8406355381011963,3.4918484687805176,3.3094091415405273,0.0,2.6789345741271973,3.670759916305542,3.397498607635498,3.3436529636383057,5.853713035583496,3.0643835067749023,2.873957395553589,3.0553510189056396,3.7216928005218506,3.20940899848938,7.170024871826172
sheep,3.5285415649414062,3.2742502689361572,3.051968574523926,3.418215274810791,3.063595771789551,3.2047054767608643,3.8168962001800537,3.651719331741333,2.6789345741271973,0.0,3.8187968730926514,3.6388142108917236,3.5267269611358643,5.698573112487793,3.4942595958709717,3.482064962387085,3.2106993198394775,3.8574538230895996,3.6929209232330322,7.0450568199157715
mouse,2.9821271896362305,3.323456048965454,3.811347246170044,3.563021183013916,4.021968841552734,4.112657070159912,3.600245475769043,3.8222362995147705,3.670759916305542,3.8187968730926514,0.0,3.1594231128692627,3.938800811767578,5.991199970245361,3.7240612506866455,3.632845878601074,3.1539180278778076,3.6487314701080322,3.827158212661743,6.98571252822876
rat,2.8861680030822754,3.2159125804901123,3.6452431678771973,2.8353359699249268,3.7405941486358643,3.3345911502838135,3.4337337017059326,3.6830341815948486,3.397498607635498,3.6388142108917236,3.1594231128692627,0.0,3.545306921005249,6.283186435699463,3.0557801723480225,3.152379274368286,2.631838083267212,3.5053768157958984,3.2995431423187256,7.219770908355713
wolf,3.5927042961120605,3.3771286010742188,3.5206265449523926,3.412092447280884,3.7200429439544678,3.4231977462768555,3.149385690689087,3.033561944961548,3.3436529636383057,3.5267269611358643,3.938800811767578,3.545306921005249,0.0,5.837737560272217,3.5668578147888184,3.4688212871551514,3.1063292026519775,3.379042387008667,3.5399115085601807,7.085714340209961
giraffe,5.914390563964844,5.969911098480225,5.852074146270752,6.2710700035095215,6.307398796081543,5.8717732429504395,5.866910934448242,5.793864727020264,5.853713035583496,5.698573112487793,5.991199970245361,6.283186435699463,5.837737560272217,0.0,5.848980903625488,5.999520778656006,6.053964138031006,6.3515825271606445,5.538912773132324,4.321918964385986
zebra,3.791597604751587,3.7968389987945557,3.447509288787842,3.283738374710083,3.446363687515259,2.7212302684783936,3.3943049907684326,3.3440496921539307,3.0643835067749023,3.4942595958709717,3.7240612506866455,3.0557801723480225,3.5668578147888184,5.848980903625488,0.0,2.913491725921631,2.9351329803466797,3.649181604385376,2.7496554851531982,7.213871479034424
donkey,3.670045852661133,3.3836441040039062,3.2924747467041016,2.664194107055664,3.364621639251709,2.5653278827667236,3.695195436477661,3.6567678451538086,2.873957395553589,3.482064962387085,3.632845878601074,3.152379274368286,3.4688212871551514,5.999520778656006,2.913491725921631,0.0,2.4869256019592285,3.77958083152771,2.978332996368408,7.226816177368164
rabbit,2.92567777633667,2.848679780960083,3.2070586681365967,2.617741346359253,3.444077968597412,3.0194215774536133,3.393308162689209,3.5661048889160156,3.0553510189056396,3.2106993198394775,3.1539180278778076,2.631838083267212,3.1063292026519775,6.053964138031006,2.9351329803466797,2.4869256019592285,0.0,2.9605565071105957,3.147217273712158,7.077828884124756
fox,3.420710563659668,3.366668462753296,3.5512964725494385,3.4664816856384277,4.037050247192383,3.688025951385498,3.7298600673675537,3.884594202041626,3.7216928005218506,3.8574538230895996,3.6487314701080322,3.5053768157958984,3.379042387008667,6.3515825271606445,3.649181604385376,3.77958083152771,2.9605565071105957,0.0,3.9584646224975586,7.34147310256958
gorilla,3.7632458209991455,3.664921998977661,3.8183541297912598,3.565521001815796,4.001082420349121,3.096524238586426,3.2873733043670654,3.3569934368133545,3.20940899848938,3.6929209232330322,3.827158212661743,3.2995431423187256,3.5399115085601807,5.538912773132324,2.7496554851531982,2.978332996368408,3.147217273712158,3.9584646224975586,0.0,6.6057844161987305
chimpanzee,6.8071064949035645,7.036896228790283,7.287565231323242,7.367753505706787,7.703705787658691,7.327299118041992,6.958736419677734,7.136834144592285,7.170024871826172,7.0450568199157715,6.98571252822876,7.219770908355713,7.085714340209961,4.321918964385986,7.213871479034424,7.226816177368164,7.077828884124756,7.34147310256958,6.6057844161987305,0.0
